ABC123;05-05-2024;08:30;New York;12:45
DEF456;10-06-2024;13:15;Los Angeles;17:30
GHI789;22-07-2024;17:45;London;21:20
JKL012;14-08-2024;09:00;Paris;12:30
MNO345;03-09-2024;21:10;Tokyo;05:55
PQR678;18-10-2024;16:20;Sydney;22:10
STU901;29-11-2024;11:55;Dubai;16:40
VWX234;07-12-2024;19:40;Berlin;23:15
YZA567;25-01-2025;14:25;Rome;18:00
BCD890;09-02-2025;10:35;Madrid;14:20
CDE123;16-03-2025;22:45;Moscow;03:30
EFG456;28-04-2025;08:15;Singapore;13:00
GHI789;03-05-2025;12:30;Seoul;17:05
IJK012;19-06-2025;18:50;Hong Kong;23:40
KLM345;01-07-2025;09:40;Shanghai;14:25
MNO678;14-08-2025;15:05;Beijing;19:50
OPQ901;27-09-2025;11:20;Bangkok;15:55
QRS234;08-10-2025;20:00;Mumbai;01:45
STU567;22-11-2025;13:35;Cairo;18:10
TUV890;04-12-2025;07:50;Istanbul;12:25
UVW123;17-01-2026;16:10;Rio de Janeiro;21:00
VWX456;29-02-2026;08:55;Buenos Aires;13:30
WXY789;08-03-2026;14:40;Mexico City;19:15
XYZ012;21-04-2026;10:25;Toronto;15:00
YZA345;02-05-2026;18:15;Vancouver;22:50
ZAB678;15-06-2026;11:30;Montreal;16:05
ABC901;27-07-2026;17:55;Chicago;22:30
BCD234;09-08-2026;13:20;Houston;18:00
CDE567;22-09-2026;09:45;Miami;14:20
DEF890;05-10-2026;20:30;Seattle;01:05
EFG123;17-11-2026;16:00;Dublin;20:35
FGH456;28-12-2026;12:10;Amsterdam;16:45
GHI789;09-01-2027;07:25;Brussels;12:00
HIJ012;20-02-2027;17:50;Vienna;22:25
IJK345;04-03-2027;10:15;Zurich;14:50
JKL678;16-04-2027;19:00;Stockholm;23:35
KLM901;29-05-2027;14:35;Oslo;19:10
LMN234;10-06-2027;08:20;Helsinki;12:55
MNO567;23-07-2027;17:05;Copenhagen;21:40
NOP890;05-08-2027;13:30;Athens;18:05
OPQ123;18-09-2027;09:55;Dubrovnik;14:30
PQR456;01-10-2027;20:40;Santorini;01:15
QRS789;14-11-2027;15:15;Mykonos;19:50
RST012;27-12-2027;11:50;Santiago;16:25
STU345;08-01-2028;17:25;Cape Town;22:00
TUV678;20-02-2028;12:00;Johannesburg;16:35
